"KioskID","System","Borough","ParkDistrict","GISPropNum","OMPPropID","PropertyName","SubPropertyName","Location","Model","Submodel","ContainerSize","Status","InstallationDate","Remove Date","Removal Reason","Status Change Date","Point"
"87","X010A-NK-0087","Bronx","X-06","X010A","X010A","Walter Gladwin Park","Walter Gladwin Park","South of wall on hillside","Stainless steel","Post mount","2 gallon","Active","2024 Dec 20 05:00:00 AM",,,"2025 Mar 25 12:00:00 AM","POINT (-73.89599839839856 40.845819394098825)"
"47","X017-NK-0103","Bronx","X-05","X017","X017","Richman (Echo) Park","Richman (Echo) Park","On the rocky outcropping near Tremont Ave","Stainless steel","Post mount","2 gallon","Active","2025 Sep 26 06:06:09 PM",,,"2025 Sep 26 06:06:20 PM","POINT (-73.90181333581498 40.84855253827277)"
"47","X017-NK-0047","Bronx","X-05","X017","X017","Richman (Echo) Park","Richman (Echo) Park","On the rocky outcropping next to Tremont Ave","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2018 Dec 17 05:00:00 AM","2025 Sep 26 06:04:46 PM","Damaged","2025 Sep 26 06:05:00 PM","POINT (-73.90185160611884 40.84853309318825)"
"34","X106-NK-0097","Bronx","X-01","X106","X106","Evelina Antonetty Playground",,"Interior walkway","Outdoor wall mount","Mailbox/wall","2 gallon","Removed","2018 Aug 19 02:43:11 PM","2018 Oct 30 02:43:20 PM","Construction","2018 Oct 30 02:43:00 PM","POINT (-73.92840326864155 40.81725091443416)"
"75","M037-NK-0075","Manhattan","M-12A","M037","M037-ZN07","Highbridge Park","Highbridge Park Zone 7","E 181 St and Amsterdam Ave","Stainless Steel","Post Mount","2 gallon","Active","2021 Aug 27 04:00:00 AM",,,,"POINT (-73.93003430358391 40.84728959452695)"
"80","M058-NK-0080","Manhattan","M-11","M058","M058-ZN01","Marcus Garvey Park","Marcus Garvey Park Zone 1","South side of amphitheater","Stainless Steel","Outdoor Wall Mount","2 gallon",,"2024 Aug 01 03:06:25 PM",,,"2024 Sep 19 03:06:52 PM","POINT (-73.94475651596565 40.80475783342907)"
"82","M088-NK-0082","Manhattan","M-03","M088","M088","Tompkins Square Park","Tompkins Square Park","E 7 St between Aves A and B","Large Black Box",,,"Removed",,"2025 Mar 03 05:59:31 PM","Replaced with stainless steel model","2025 Mar 03 05:59:47 PM","POINT (-73.98244506365027 40.72588466679194)"
"46","X001A-NK-0046","Bronx","X-05","X001A","X001A","Aqueduct Walk","Aqueduct Walk","At E 184 St in gulch west of walkway","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2019 May 01 04:00:00 AM","2019 Jul 01 04:00:00 AM","Low usage",,"POINT (-73.90472963448288 40.862109721822314)"
"83","M105-NK-0083","Manhattan","M-03","M105","M105","Sara D. Roosevelt Park","Sara D. Roosevelt Park","Stanton St bet Chrystie and Forsyth Sts","Large Black Box",,"2 gallon","Removed",,"2025 Mar 03 05:49:10 PM",,"2025 Mar 03 05:49:22 PM","POINT (-73.99134390701697 40.72252380681094)"
"28","X155-NK-0028","Bronx","X-01","X155","X155","Patterson Playground","Patterson Playground","Morris Ave and E 145 St","Outdoor Post Mount","Mailbox/post","2 gallon","Active","2018 Aug 19 04:00:00 AM",,,,"POINT (-73.92262720156488 40.81558486090136)"
"53","M037-NK-0053","Manhattan","M-12A","M037","M037-ZN07","Highbridge Park","Highbridge Park Zone 7","E 181st St and Amsterdam Ave, near arches at bottom of steps","Outdoor post Mount","Mailbox/post","2 gallon","Removed","2019 Aug 26 04:00:00 AM","2022 Mar 01 06:57:32 PM","Broken",,"POINT (-73.9292448696017 40.84717671535206)"
"84","X105-NK-0090","Manhattan","X-03","X105","X105","Sara D. Roosevelt Park","Sara D.  Roosevelt Park","Chrystie and Delancey near entrance","Stainless steel","Post mount","2 gallon","Active","2025 Apr 22 04:57:06 PM",,,"2025 Apr 22 04:57:26 PM","POINT (-73.99283264680847 40.71963172984492)"
"66","M058-NK-0066","Manhattan","M-11","M058","M058-ZN01","Marcus Garvey Park","Marcus Garvey Park Zone 1","North side of amphitheater on railing next to structure door","Stainless Steel","Wall mount","2 gallon","Active","2024 Jan 01 08:16:10 PM",,,"2024 Jul 11 07:08:40 PM","POINT (-73.94467004585371 40.80504250891808)"
"78","M037-NK-0078","Manhattan","M-12A","M037","M037-ZN07","Highbridge Park","Highbridge Park Zone 7","E 181 St and Amsterdam Ave","Stainless steel","Post mount","2 gallon","Active","2021 Aug 27 04:00:00 AM",,,,"POINT (-73.92943797262525 40.84696947814358)"
"23","X010-NK-0023","Bronx","X-03","X010","X010-12","Crotona Park","Crotona Park-Bathgate Playground","Crotona Bathgate Plgd, Fulton Ave. & E 173 St.","Indoor Wall Mount","Bathroom","1.5 gallon","Active","2018 Jun 02 04:00:00 AM",,,,"POINT (-73.89769492872426 40.84066917439288)"
"26","X042-NK-0026","Bronx","X-06","X042","X042","Rosehill Park","Rosehill Park","Webster Ave and Fordham Rd","Indoor Wall Mount","Bathroom","1.5 gallon","Active","2018 Sep 29 04:00:00 AM",,,,"POINT (-73.89076907820362 40.86170221020886)"
"21","X010A-NK-0021","Bronx","X-06","X010A","X010A-02","Walter Gladwin Park","Walter Gladwin Park-175th Street Playground","E Tremont Ave and Arthur Ave","Outdoor Post Mount","Mailbox/post","1.5 gallon","Removed","2018 Jun 04 04:00:00 AM",,,"2024 Jul 10 09:03:36 PM","POINT (-73.89467083931423 40.844554884187346)"
"42","X010A-NK-0102","Bronx","X-06","X010A","X010A","Walter Gladwin Park","Walter Gladwin Park","Pathway adjacent to ball field","Stainless steel","Post mount","2 gallon","Active","2025 Sep 26 06:03:46 PM",,,"2025 Sep 26 06:03:55 PM","POINT (-73.89640781207974 40.84510713844238)"
"49","X045-NK-0049","Bronx","X-01","X045","X045","St. Mary's Park","St. Mary's Park","Parking lot of M&O building at E 149th St and St Ann's Ave","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2018 Dec 11 05:00:00 AM","2021 Jan 01 08:31:03 PM","Vandalism","2019 Apr 12 12:00:00 AM","POINT (-73.91271947699323 40.81399712980507)"
"42","X010A-NK-0042","Bronx","X-06","X010A","X010A","Walter Gladwin Park","Walter Gladwin Park","Pathway adjacent to ball field on west side of field","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2018 Sep 01 04:00:00 AM",,"Vandalism",,"POINT (-73.8964085078787 40.84511720748027)"
"14","X045-NK-0014","Bronx","X-01","X045","X045-01","St. Mary's Park East","St Mary's Park-St Mary's Playground East","Jackson Ave and E 144 St","Indoor Wall Mount","Bathroom","1.5 gallon","Removed","2018 Jun 02 04:00:00 AM","2022 Jan 01 08:33:37 PM","Construction","2024 Jul 11 06:52:44 PM","POINT (-73.91051776583642 40.809894010879006)"
"2","X010-NK-0002","Bronx","X-03","X010","X010-ZN08","Crotona Park","Crotona Park-Crotona Zone 8","Crotona Zone 8, SW corner of park","Indoor Wall Mount","Bathroom","2 gallon","Removed","2019 May 01 04:00:00 AM","2023 Jan 01 07:32:18 PM",,,"POINT (-73.89977157796434 40.83555971560733)"
"86","X017-NK-0086","Bronx","X-05","X017","X017","Richman (Echo) Park","Richman (Echo) Park","Near Tremont Ave. entrance","Stainless","Wall mount","2 gallon","Active","2024 Nov 15 08:46:10 PM",,,,"POINT (-73.90200469332571 40.84886000484137)"
"12","X217-NK-0012","Bronx","X-01","X217","X217","Willis Playground","Willis Playground","E 139 St, E 140 St, Willis and Alexander Aves","Indoor Wall Mount","Bathroom","1.5 gallon","Removed","2021 Mar 01 05:00:00 AM","2024 Jul 01 07:28:39 PM","Restrooms near playground","2024 Jul 11 06:53:45 PM","POINT (-73.92265388965716 40.81133677252811)"
"88","M105-NK-0088","Manhattan","M-03","M105","M105","Sara D. Roosevelt Park","Sara D. Roosevelt Park","Forsythe and Broome on east wall of park house","Stainless steel","Wall mount","2 gallon","Active","2025 Apr 22 04:42:19 PM",,,"2025 Apr 22 04:43:45 PM","POINT (-73.99289970135712 40.718712863681574)"
"8","X168-NK-0008","Bronx","X-04","X168","X168","Nelson Playground","Nelson Playground","W 166 St and Nelson Ave","Indoor Wall Mount","Bathroom","1.5 gallon","Removed","2018 Jun 02 04:00:00 AM","2023 Jan 01 07:34:37 PM","Non use","2023 Jan 01 07:34:52 PM","POINT (-73.92658756848269 40.83500171710657)"
"81","X044-NK-0081","Bronx","X-07","X044","X044","St. James Park","St. James Park","Creston Ave and E 192 St","Stainless Steel","Wall Mount","2 gallon","Active","2024 Oct 10 09:22:34 PM",,,,"POINT (-73.89696980870822 40.86463288527386)"
"59","M028-NK-0098","Manhattan","M-12","M028","M028","Fort Washington Park","Fort Washington Park","W 177 St entrance","Outdoor Post Mount","Mailbox/post","2 gallon","Active","2016 May 12 05:46:21 PM",,,"2016 May 12 05:46:37 PM","POINT (-73.94223202862905 40.84826693890901)"
"24","X010-NK-0024","Bronx","X-03","X010","X010","Crotona Park","Crotona Park","Crotona Bathgate Plgd, Fulton Ave. & E 173 St.","Indoor Wall Mount","Bathroom","1.5 gallon","Active","2018 Aug 19 04:00:00 AM",,,,"POINT (-73.89752035900044 40.8406128538278)"
"30","X045-NK-0030","Bronx","X-01","X045","X045-ZN02","St. Mary's Park","St Mary's Park Zone 2","E 148 St and St. Ann's Ave","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2018 Aug 19 04:00:00 AM","2022 Jan 01 08:30:43 PM","Construction",,"POINT (-73.91280247520771 40.81367032187943)"
"57","M037-NK-0057","Manhattan","M-12A","M037","M037-ZN07","Highbridge Park","Highbridge Park Zone 7","E 181st St and Amsterdam Ave, west of first underpass","Outdoor post Mount","Mailbox/post","2 gallon","Removed","2019 Aug 26 04:00:00 AM","2022 Mar 01 06:58:57 PM","Removed",,"POINT (-73.93038490890997 40.847104198052584)"
"13","X045-NK-0013","Bronx","X-01","X045","X045-01","St. Mary's Park East","St Mary's Park-St Mary's Playground East","Jackson Ave and E 144 St","Indoor Wall Mount","Bathroom","1.5 gallon","Removed","2018 Jun 02 04:00:00 AM","2022 Jan 01 08:33:22 PM","Construction","2024 Jul 11 06:52:37 PM","POINT (-73.91045557636097 40.80988872169399)"
"16","X200-NK-0016","Bronx","X-01","X200","X200","Clark Playground","Clark Playground","E 144 St and 3rd Ave","Indoor Wall Mount","Bathroom","1.5 gallon","Removed","2018 Jun 02 04:00:00 AM","2024 Jul 01 07:25:43 PM","Restrooms used by playground, school","2024 Jul 11 06:55:05 PM","POINT (-73.9212315729037 40.81395372116583)"
"27","X155-NK-0100","Bronx","X-01","X155","X155","Patterson Playground","Patterson Playground","E 146 St and College Ave","Stainless steel","Post mount","2 gallon","Active",,"2025 Sep 26 06:00:25 PM",,"2025 Sep 26 06:00:36 PM","POINT (-73.92164802485281 40.815734533169746)"
"9","X047-NK-0009","Bronx","X-04","X047","X047-ZN01","Franz Sigel Park","Franz Sigel Park Zone 1","Grand Concourse and E 158 St","Indoor Wall Mount","Bathroom","1.5 gallon","Active","2018 Jun 02 04:00:00 AM",,"Construction","2024 Jul 11 06:55:57 PM","POINT (-73.92602667053147 40.82139181956032)"
"39","X045-NK-0039","Bronx","X-01","X045","X045-ZN03","St. Mary's Park","St. Mary's Park","St. Mary's Ave at Beekman Ave","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2018 Sep 01 02:38:52 PM","2018 Dec 11 03:39:02 PM","Vandalism","2018 Dec 11 03:39:43 PM","POINT (-73.91302857132128 40.8102019936267)"
"35","X047-NK-0035","Bronx","X-04","X047","X047-ZN01","Franz Sigel Park","Franz Sigel Park Zone 1","Walton Ave and E 153 St","Outdoor Wall Mount","Mailbox/wall","2 gallon","Removed","2018 Aug 19 04:00:00 AM","2023 Jan 01 08:34:08 PM","Construction","2024 Jul 12 12:00:00 AM","POINT (-73.92652857027669 40.822846719250144)"
"76","M037-NK-0076","Manhattan","M-12A","M037","M037-ZN07","Highbridge Park","Highbridge Park Zone 7","Path from 181 St to skate park","Stainless Steel","Post Mount","2 gallon","Active","2024 Jan 02 04:48:13 PM",,,,"POINT (-73.92992454421966 40.84691087174109)"
"45","X010A-NK-0092","Bronx","X-06","X010A","X010A","Walter Gladwin Park","Walter Gladwin Park","SW corner of half wall near top of 3rd Ave steps","Outdoor post mount","Mailbox","2 gallon","Removed","2018 Sep 01 06:45:31 PM","2019 Mar 31 06:45:39 PM","Broken","2019 Mar 31 06:45:58 PM","POINT (-73.8960522725063 40.8457281227665)"
"85","M105-NK-0085","Manhattan","M-03","M105","M105","Sara D. Roosevelt Park","Sara D. Roosevelt Park","Broome St and Chrystie St","Large Black Box",,,"Removed",,"2025 Mar 03 05:45:06 PM","Replaced with stainless steel model in new loc","2025 Mar 03 05:45:23 PM","POINT (-73.99327532598667 40.71874313436113)"
"33","X001A-NK-0033","Bronx","X-05","X001A","X001A","Aqueduct Walk","Aqueduct Walk","E Burnside Ave and University Ave","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2018 Aug 19 04:00:00 AM","2019 Jul 01 04:00:00 AM","Low usage","2019 Jul 01 12:00:00 AM","POINT (-73.91019257323114 40.855546712516244)"
"3","X008-NK-0003","Bronx","X-04","X008","X008-01","Claremont Park","Claremont Park-Claremont Park","Adj. handball court, near Clay Ave and Andrew Robinson Place","Indoor Wall Mount","Mailbox/post","1.5 gallon","Active","2018 Jun 02 04:00:00 AM",,,,"POINT (-73.9080123049033 40.83764310614098)"
"25","X042-NK-0025","Bronx","X-06","X042","X042","Rosehill Park","Rosehill Park","Webster Ave and Fordham Rd","Indoor Wall Mount","Bathroom","1.5 gallon","Active","2018 Sep 29 04:00:00 AM",,,,"POINT (-73.89079587910176 40.861765110528005)"
"32","X200-NK-0032","Bronx","X-01","X200","X200","Clark Playground","Clark Playground","E 145 St and 3rd Ave","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2018 Aug 19 04:00:00 AM","2024 Jul 01 07:27:30 PM","Restrooms used by playground, school","2024 Jul 11 06:54:53 PM","POINT (-73.92116667270768 40.81400361119652)"
"58","M037-NK-0058","Manhattan","M-12A","M037","M037-ZN07","Highbridge Park","Highbridge Park Zone 7","E 179st St and Amsterdam Ave, south side of skate park","Outdoor post Mount","Mailbox/post","2 gallon","Removed","2019 Aug 26 04:00:00 AM","2022 Mar 01 06:58:07 PM","Broken","2024 Jul 11 07:23:27 PM","POINT (-73.92992016755943 40.84646491368734)"
"52","X001A-NK-0052","Bronx","X-05","X001A","X001-ZN01","Aqueduct Walk","Aqueduct Walk Zone 1","Down steps in gulch on south side of Fordham Rd","Outdoor Post Mount","Mailbox/post","2 gallon","Active","2018 Dec 17 05:00:00 AM",,,,"POINT (-73.90406719546834 40.86259899011745)"
"15","X200-NK-0015","Bronx","X-01","X200","X200","Clark Playground","Clark Playground","E 144 St and 3rd Ave","Indoor Wall Mount","Bathroom","1.5 gallon","Removed","2018 Jun 02 04:00:00 AM","2024 Jul 01 07:27:02 PM","Restrooms used by playground, school","2024 Jul 11 06:55:23 PM","POINT (-73.92115340275647 40.81394655110299)"
"11","X217-NK-0011","Bronx","X-01","X217","X217","Willis Playground","Willis Playground","E 139 St, E 140 St, Willis and Alexander Aves","Indoor Wall Mount","Bathroom","1.5 gallon","Removed","2021 Mar 01 05:00:00 AM","2024 Jul 01 07:29:13 PM","Restrooms near playground","2024 Jul 11 06:53:12 PM","POINT (-73.9227249546996 40.81137295626106)"
"74","M037-NK-0074","Manhattan","M-12A","M037","M037-ZN07","Highbridge Park","Highbridge Park Zone 7","E 181 St and Amsterdam Ave","Stainless steel","Post mount","2 gallon","Active","2021 Aug 27 04:00:00 AM",,,,"POINT (-73.93031213620104 40.84679336265409)"
"35","X047-NK-0099","Bronx","X-04","X047","X047-ZN01","Franz Sigel Park","Franz Sigel Park","West wall of old park house near Walton Ave.","Stainless steel","Post mount","2 gal","Active","2025 Sep 25 06:18:29 PM",,,"2025 Sep 25 06:19:02 PM","POINT (-73.92649566312808 40.82286425345088)"
"22","X010A-NK-0022","Bronx","X-06","X010A","X010A-02","Walter Gladwin Park","Walter Gladwin Park-175th Street Playground","E Tremont Ave and Arthur Ave","Outdoor Wall Mount","Mailbox/wall","1.5 gallon","Removed","2018 Jun 04 04:00:00 AM","2019 Jun 15 04:00:00 AM","Construction","2024 Jul 10 09:02:04 PM","POINT (-73.89465433913621 40.8445084135767)"
"20","X017-NK-0020","Bronx","X-05","X017","X017-02","Richman (Echo) Park","Richman (Echo) Park-Richman (Echo) Park Upper","E Tremont Ave and E Burnside Ave","Indoor Wall Mount","Mailbox/post","1.5 gallon","Removed","2018 Jun 02 04:00:00 AM","2021 Jan 01 08:43:03 PM","Restroom in playground","2024 Jul 11 07:01:33 PM","POINT (-73.9020835754425 40.84955071344829)"
"35","X047-NK-0101","Bronx","X-04","X047","X047-ZN01","Franz Sigel Park","Franz Sigel Park","Walton Ave and E 153 St","Stainless steel","Wall mount","2 gallon","Active","2025 Sep 26 06:02:23 PM",,,"2025 Sep 26 06:02:42 PM","POINT (-73.92648485406663 40.82273493531268)"
"5","X008-NK-0005","Bronx","X-04","X008","X008-ZN01","Claremont Park","Claremont Park-Claremont Zone 1","Adj. gazebo, near Clay Ave and E 172 St","Indoor Wall Mount","Bathroom","1.5 gallon","Active","2018 Jun 02 04:00:00 AM",,,,"POINT (-73.90690057532215 40.84148371529455)"
"50","X045-NK-0050","Bronx","X-01","X045","X045-ZN03","St. Mary's Park","St Mary's Park Zone 3","In the center of the park north of the old tennis courts","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2018 Dec 11 05:00:00 AM","2023 Jan 01 08:31:52 PM","Vandalism","2024 Jul 11 06:52:26 PM","POINT (-73.91192787582443 40.81261451961746)"
"43","X010A-NK-0043","Bronx","X-06","X010A","X010A","Walter Gladwin Park","Walter Gladwin Park","Near top of hill on north slope","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2018 Sep 01 04:00:00 AM","2022 Jan 01 08:36:32 PM","Damaged",,"POINT (-73.89599128900102 40.84554590346641)"
"73","M037-NK-0073","Manhattan","M-12A","M037","M037-ZN07","Highbridge Park","Highbridge Park Zone 7","E 181 St and Amsterdam Ave","Stainless steel","Post mount","2 gallon","Active","2021 Aug 27 04:00:00 AM",,,,"POINT (-73.9303625273554 40.84741695436631)"
"83","M105-NK-0089","Manhattan","M-03","M105","M105","Sara D. Roosevelt Park","Sara D. Roosevelt Park","Stanton and Chrystie west side of park house","Stainless steel","Post mount","2 gallon","Active","2025 Apr 22 04:54:54 PM",,,"2025 Apr 22 04:55:14 PM","POINT (-73.99134670290033 40.722522414833534)"
"29","X017-NK-0029","Bronx","X-05","X017","X017","Richman (Echo) Park","Richman (Echo) Park","E Tremont Ave and E Burnside Ave","Outdoor Wall Mount","Mailbox/wall","2 gallon","Removed","2018 Aug 19 04:00:00 AM","2019 Jun 15 04:00:00 AM","Construction",,"POINT (-73.90137406660322 40.849305544321076)"
"18","X255-NK-0018","Bronx","X-02","X255","X255","Bill Rainey Park","Bill Rainey Park","Dawson St and Longwood Ave","Indoor Wall Mount","Bathroom","1.5 gallon","Active","2018 Jun 02 04:00:00 AM",,,,"POINT (-73.89822609995355 40.818771588983)"
"72","M037-NK-0093","Manhattan","M-12A","M037","M037-ZN07","Highbridge Park","Highbridge Park Zone 7","E 181st St and Amsterdam Ave","Stainless steel","Post mount","2 gallon","Active","2019 Aug 26 04:00:00 AM",,,,"POINT (-73.93048076797544 40.84757071451609)"
"1","X010-NK-0001","Bronx","X-03","X010","X010-ZN08","Crotona Park","Crotona Park-Crotona Zone 8","Crotona Zone 8, SW corner of park","Indoor Wall Mount","Bathroom","1.5 gallon","Removed","2018 Jun 02 04:00:00 AM","2023 Jan 01 07:32:00 PM","Non use",,"POINT (-73.89965081828257 40.835630375960704)"
"70","B025-NK-0096","Brooklyn","B-01","B025","B025","Cooper Park","Cooper Park","East of Maspeth Ave. entrance on fence","Stainless Steel","Wall mount","2 gallon","Active","2024 Jan 02 05:31:58 PM",,,"2024 Jan 02 03:46:09 PM","POINT (-73.93726517456803 40.71641328154574)"
"40","X010-NK-0040","Bronx","X-03","X010","X010-ZN10","Crotona Park","Crotona Park-Crotona Zone 10","Crotona Park North and Arthur Ave","Outdoor Post Mount","Mailbox/post","2 gallon","Active","2018 Sep 01 04:00:00 AM",,,,"POINT (-73.89579527037608 40.84278222451273)"
"6","X008-NK-0006","Bronx","X-04","X008","X008-ZN01","Claremont Park","Claremont Park-Claremont Zone 1","Adj. gazebo, near Clay Ave and E 172 St","Indoor Wall Mount","Bathroom","1.5 gallon","Active","2018 Jun 02 04:00:00 AM",,,,"POINT (-73.90686957522053 40.84144071511641)"
"4","X008-NK-0004","Bronx","X-04","X008","X008-01","Claremont Park","Claremont Park-Claremont Park","Adj. handball court, near Clay Ave and Andrew Robinson Place","Indoor Wall Mount","Bathroom","1.5 gallon","Active","2018 Jun 02 04:00:00 AM",,,,"POINT (-73.90801457543186 40.837693715719375)"
"7","X168-NK-0007","Bronx","X-04","X168","X168","Nelson Playground","Nelson Playground","W 166 St and Nelson Ave","Indoor Wall Mount","Bathroom","1.5 gallon","Removed","2018 Jun 02 04:00:00 AM","2023 Jan 01 07:34:11 PM","Non use","2023 Jan 01 07:35:06 PM","POINT (-73.92660815075999 40.8350447567244)"
"68","M058-NK-0068","Manhattan","M-11","M058","M058-ZN03","Marcus Garvey Park","Marcus Garvey Park Zone 3","South side of Acropolis on retaining wall","Stainless Steel","Wall mount","2 gallon","Active","2024 Jan 01 08:04:44 PM",,,"2024 Jul 11 07:04:57 PM","POINT (-73.94390021129855 40.80388840620673)"
"84","M105-NK-0084","Manhattan","M-03","M105","M105","Sara D. Roosevelt Park","Sara D. Roosevelt Park","Delancey St and Chrystie St.","Large Black Box",,,"Removed",,"2025 Mar 03 05:47:44 PM",,"2025 Mar 03 05:48:17 PM","POINT (-73.99283016223418 40.719612241758306)"
"67","M058-NK-0095","Manhattan","M-11","M058","M058-ZN03","Marcus Garvey Park","Marcus Garvey Park Zone 3","North side of Acropolis on staircase landing","Stainless Steel","Wall mount","2 gallon","Removed","2024 Jan 01 08:14:16 PM","2025 Sep 19 02:39:29 PM","Construction","2025 Sep 19 07:07:56 PM","POINT (-73.94324924465127 40.80443798795073)"
"41","X017-NK-0041","Bronx","X-05","X017","X017","Richman (Echo) Park","Richman (Echo) Park","Small plaza at top of pathway above playground","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2018 Sep 01 04:00:00 AM","2024 Nov 15 08:43:57 PM","Low usage",,"POINT (-73.90177884692697 40.849355984068694)"
"38","X045-NK-0038","Bronx","X-01","X045","X045-ZN03","St. Mary's Park","St Mary's Park Zone 3","Trinity Ave and E 147 St north of walkway","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2018 Sep 01 04:00:00 AM","2022 Jan 01 08:32:35 PM","Construction","2024 Jul 11 06:52:12 PM","POINT (-73.91104309584195 40.81230816095542)"
"36","X043-NK-0036","Bronx","X-01","X043","X043","Ryan's Triangle","Ryan's Triangle","Crotona Park North and Arthur Ave","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2018 Sep 01 04:00:00 AM","2019 Oct 17 04:00:00 AM","Low usage",,"POINT (-73.92437757271537 40.815392720580604)"
"10","X047-NK-0010","Bronx","X-04","X047","X047-ZN01","Franz Sigel Park","Franz Sigel Park Zone 1","Grand Concourse and E 158 St","Indoor Wall Mount","Bathroom","1.5 gallon","Active","2018 Jun 02 04:00:00 AM",,,"2024 Jul 12 12:00:00 AM","POINT (-73.9259987204743 40.82137270930238)"
"37","X045-NK-0037","Bronx","X-01","X045","X045","St. Mary's Park","St. Mary's Park","Trinity Ave and E 147 St south of walkway","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2018 Sep 01 04:00:00 AM","2022 Jan 01 08:32:17 PM","Construction","2024 Jul 11 06:52:00 PM","POINT (-73.91140720526654 40.81157195109912)"
"82","M088-NK-0091","Manhattan","M-03","M088","M088","Tompkins Square Park","Tompkins Square Park","E 7 St btw A and B Aves north of entrance","Stainless steel","Post mount","2 gallon",,"2025 Apr 22 05:02:54 PM",,,"2025 Apr 22 05:03:17 PM","POINT (-73.98241426223939 40.725870389924225)"
"27","X155-NK-0027","Bronx","X-01","X155","X155","Patterson Playground","Patterson Playground","College Ave and E 146 St","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2018 Jun 04 04:00:00 AM",,,,"POINT (-73.92162694246522 40.81575156075154)"
"44","X010A-NK-0044","Bronx","X-06","X010A","X010A","Walter Gladwin Park","Walter Gladwin Park","Near top of hill NW of ballfield","Outdoor Post Mount","Mailbox/post","2 gallon","Active","2018 Sep 01 04:00:00 AM",,,,"POINT (-73.89624029425957 40.8454257029857)"
"31","X045-NK-0031","Bronx","X-01","X045","X045","St. Mary's Park","St. Mary's Park","E 145 St and St. Ann's Ave, behind recreation center","Outdoor Post Mount","Mailbox/post","2 gallon","Removed","2018 Aug 19 04:00:00 AM","2022 Jan 01 08:30:14 PM","Construction",,"POINT (-73.91372857504494 40.811544720886694)"
"71","M037-NK-0094","Manhattan","M-12A","M037","M037-ZN07","Highbridge Park","Highbridge Park Zone 7","E 181st St and Amsterdam Ave","Stainless steel","Post mount","2 gallon","Active","2019 Aug 26 04:00:00 AM",,,,"POINT (-73.93040176780676 40.84766871428563)"
"19","X017-NK-0019","Bronx","X-05","X017","X017-02","Richman (Echo) Park","Richman (Echo) Park-Richman (Echo) Park Upper","E Tremont Ave and E Burnside Ave","Indoor Wall Mount","Bathroom","1.5 gallon","Removed","2018 Jun 02 04:00:00 AM","2021 Jan 01 08:42:41 PM","Restroom in playground","2024 Jul 11 07:01:19 PM","POINT (-73.902031385139 40.849573943261554)"
"17","X255-NK-0017","Bronx","X-02","X255","X255","Bill Rainey Park","Bill Rainey Park","Dawson St and Longwood Ave","Indoor Wall Mount","Bathroom","1.5 gallon","Active","2018 Jun 02 04:00:00 AM",,,,"POINT (-73.89836958005895 40.81869271853284)"
